x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,Gesture
0,0,0.062095687,0.02818203,0.11753507,0.04772824,0.157802507,0.059504151,0.192763701,0.07844162,0.15538536,-0.115491599,0.149145469,0.025090039,0.129057273,0.128583252,0.112457469,0.208942354,0.095974669,-0.15199703,0.083184138,0.021836281,0.066735461,0.151763439,0.053330153,0.247802317,0.034057304,-0.154787958,0.019559681,0.010226667,0.006600931,0.138076723,-0.004268959,0.229104996,-0.02382116,-0.135321766,-0.028386697,-0.007001758,-0.031568691,0.089595437,-0.036663845,0.158065677,Pitch_Forward
0,0,0.055551708,0.023777604,0.103139848,0.014074445,0.134323061,-0.011193007,0.163252175,-0.037007958,0.119360626,-0.118107498,0.123594761,-0.031156242,0.117420256,0.046275914,0.111924529,0.102719605,0.074140519,-0.139270484,0.074750453,-0.023102731,0.071607322,0.069223464,0.068694115,0.130312741,0.028171822,-0.131333977,0.028422967,-0.013142437,0.031315804,0.065482676,0.032588005,0.111673415,-0.014244139,-0.106518924,-0.011824071,-0.01675275,-0.005613446,0.045295119,0.000850856,0.081945837,Pitch_Forward
0,0,0.058384299,0.032177538,0.101526022,0.049551278,0.129409075,0.076524347,0.14705199,0.108026475,0.13346222,-0.105139315,0.135736555,-0.003639072,0.128940135,0.079544753,0.125194788,0.141379267,0.088884294,-0.128394723,0.088519782,0.001132101,0.083507597,0.101505846,0.080383748,0.172373444,0.041033879,-0.124928743,0.040008962,-0.001414418,0.041331768,0.093521327,0.043722197,0.158920974,-0.003730565,-0.102742493,5.01E-05,-0.013310552,0.007282674,0.057170361,0.015875012,0.108785182,Pitch_Forward
0,0,0.057611361,0.03342393,0.100829646,0.050124496,0.129194126,0.07392022,0.146033451,0.103931636,0.134103373,-0.106923074,0.134919122,-0.004657716,0.125772223,0.081672639,0.119960651,0.145551115,0.089474633,-0.131621063,0.089031979,-0.004492849,0.082961753,0.094710201,0.078297779,0.166051179,0.041854039,-0.12849316,0.040595442,-0.00568217,0.041096523,0.08879301,0.042547718,0.15454635,-0.00288637,-0.106572509,0.001386717,-0.014902472,0.008123159,0.055987388,0.015974209,0.108134001,Pitch_Forward
0,0,0.059781998,0.022275895,0.10356003,0.038268834,0.125656188,0.074324936,0.133138686,0.119474441,0.133560807,-0.091600746,0.129916698,0.027624995,0.121192396,0.11119476,0.118323177,0.174339026,0.089197099,-0.113565266,0.086880594,0.032316059,0.08029905,0.1346232,0.078735322,0.206939071,0.042806894,-0.110602319,0.041295469,0.028950661,0.03945902,0.127800494,0.041721642,0.194392115,1.88E-05,-0.089968175,0.003310829,0.01508382,0.006612241,0.089160174,0.013257533,0.140561014,Pitch_Forward
0,0,0.059528887,0.032530546,0.109041572,0.023208976,0.147604913,0.012381613,0.187647551,0.026563644,0.121830463,-0.134528667,0.125356197,-0.06125468,0.118180007,0.013010621,0.111386627,0.067614257,0.076739222,-0.156317681,0.079685956,-0.064866006,0.073368698,0.024152517,0.066194206,0.091587782,0.031275272,-0.149660528,0.029670313,-0.057902217,0.031038761,0.026502073,0.031898052,0.089810133,-0.010114104,-0.124579102,-0.007433742,-0.05676043,-0.002440587,0.005656242,0.002567351,0.05128324,Pitch_Forward
0,0,0.054118872,0.031305194,0.097018093,0.042303205,0.125844151,0.053827763,0.140767336,0.068565309,0.120635986,-0.11730507,0.120664269,-0.042398632,0.109553993,0.036705315,0.101503909,0.097163081,0.076061815,-0.139004737,0.072408855,-0.040341109,0.064454734,0.049622536,0.058184534,0.116949677,0.029054433,-0.133367598,0.023414716,-0.035951883,0.022331059,0.049408913,0.022115231,0.111930788,-0.014101341,-0.109501958,-0.015214264,-0.033161163,-0.01048477,0.030259192,-0.004875809,0.076667607,Pitch_Forward
0,0,0.062022582,0.037835389,0.104872674,0.105066091,0.111398846,0.186682135,0.110146135,0.247928768,0.123283803,0.039071709,0.115363747,0.185879976,0.10812977,0.278354496,0.10194239,0.354151994,0.075297326,0.01556477,0.069479764,0.202918679,0.062766284,0.305312663,0.058178499,0.381605536,0.025917828,0.016902179,0.024432033,0.199641496,0.023215279,0.29972133,0.021019965,0.367854506,-0.016950518,0.03489846,-0.012769878,0.165178508,-0.006493598,0.24876669,-0.004071072,0.312824279,Pitch_Forward
0,0,0.060340866,0.021151781,0.114667356,0.027095497,0.149593741,0.023274541,0.179263622,0.023615718,0.133777291,-0.097317606,0.133176506,0.039914846,0.125527501,0.128942847,0.121442109,0.193616688,0.082195595,-0.119731754,0.081761062,0.047258615,0.077956751,0.154007316,0.075294435,0.227384806,0.031799585,-0.112669975,0.034772038,0.039051294,0.036124498,0.140337825,0.037400752,0.207180262,-0.014407694,-0.087697923,-0.005204976,0.025409997,0.002667874,0.10876441,0.009890735,0.166029215,Pitch_Forward
0,0,0.071861967,0.028912842,0.123158336,0.096567243,0.144405544,0.17044872,0.149194568,0.233646989,0.126969814,0.073627055,0.122858822,0.237985909,0.11561048,0.341382086,0.108339071,0.422096491,0.07492806,0.0560579,0.072135478,0.262337327,0.067086548,0.390497267,0.062521875,0.481352985,0.022361055,0.061417401,0.025408715,0.257183194,0.026543528,0.37527585,0.025831431,0.452660799,-0.022484779,0.080823481,-0.013426393,0.232107639,-0.003987089,0.326360703,0.000816941,0.396341681,Pitch_Forward
